algorithm,infile,outfile,file_bytes,file_kb,has_tag,elapsed_ms,throughput_mb_s,cpu_user_s,cpu_system_s,rss_mb_before,rss_mb_after,rss_mb_delta,repeats
AES,1024KB_0.bin,AES_1024KB_0.bin,1048576,1024.0,0,56.296666666668216,17.763041032624297,0.0,0.010416666666666666,24.09765625,26.66015625,2.5625,3
PRESENT,1024KB_0.bin,PRESENT_1024KB_0.bin,1048576,1024.0,0,120874.31429999998,0.008273056238549435,107.58333333333333,2.8854166666666665,24.6640625,25.8671875,1.203125,3
XTEA,1024KB_0.bin,XTEA_1024KB_0.bin,1048576,1024.0,0,5735.674366666672,0.1743474151551524,5.598958333333333,0.078125,23.8671875,27.00390625,3.13671875,3
SIMON,1024KB_0.bin,SIMON_1024KB_0.bin,1048576,1024.0,0,21093.95553333339,0.047406945483494826,20.786458333333332,0.13541666666666666,25.0,25.8671875,0.8671875,3
PRINCE,1024KB_0.bin,PRINCE_1024KB_0.bin,1048576,1024.0,0,15130.205433333307,0.06609295586938319,15.03125,0.026041666666666668,23.86328125,25.8671875,2.00390625,3
RECTANGLE,1024KB_0.bin,RECTANGLE_1024KB_0.bin,1048576,1024.0,0,51413.593600000015,0.019450109007746928,51.026041666666664,0.09375,23.86328125,25.89453125,2.03125,3
ASCONv2,1024KB_0.bin,ASCONv2_1024KB_0.bin,1048576,1024.0,1,3168.9905999999914,0.31555789404992324,3.1145833333333335,0.015625,23.890625,27.0234375,3.1328125,3
LEA,1024KB_0.bin,LEA_1024KB_0.bin,1048576,1024.0,0,9113.198299999984,0.10973096020526643,9.041666666666666,0.026041666666666668,25.015625,28.03125,3.015625,3
MSEA,1024KB_0.bin,MSEA_1024KB_0.bin,1048576,1024.0,0,2575.211933333321,0.3883175543946835,2.5572916666666665,0.005208333333333333,26.0234375,28.08984375,2.06640625,3
AES,1024KB_1.bin,AES_1024KB_1.bin,1048576,1024.0,0,1.401300000035614,713.6230642793014,0.0,0.0,26.08203125,28.08984375,2.0078125,3
PRESENT,1024KB_1.bin,PRESENT_1024KB_1.bin,1048576,1024.0,0,61019.52753333334,0.016388196376212954,60.463541666666664,0.17708333333333334,26.08203125,18.19921875,-7.8828125,3
XTEA,1024KB_1.bin,XTEA_1024KB_1.bin,1048576,1024.0,0,3296.8219333333004,0.30332241783799807,3.2552083333333335,0.010416666666666666,16.1953125,18.203125,2.0078125,3
SIMON,1024KB_1.bin,SIMON_1024KB_1.bin,1048576,1024.0,0,16610.22496666669,0.06020388056193065,16.510416666666668,0.026041666666666668,16.19921875,18.20703125,2.0078125,3
PRINCE,1024KB_1.bin,PRINCE_1024KB_1.bin,1048576,1024.0,0,14394.746400000031,0.0694697893392549,14.171875,0.09375,16.203125,18.2109375,2.0078125,3
RECTANGLE,1024KB_1.bin,RECTANGLE_1024KB_1.bin,1048576,1024.0,0,33242.92853333335,0.03008158559187347,33.005208333333336,0.07291666666666667,16.20703125,18.2109375,2.00390625,3
ASCONv2,1024KB_1.bin,ASCONv2_1024KB_1.bin,1048576,1024.0,1,2147.8406333334683,0.4655838913187851,2.1458333333333335,0.005208333333333333,16.20703125,18.2109375,2.00390625,3
LEA,1024KB_1.bin,LEA_1024KB_1.bin,1048576,1024.0,0,6149.764633333386,0.16260784918169546,6.109375,0.020833333333333332,16.20703125,18.23046875,2.0234375,3
MSEA,1024KB_1.bin,MSEA_1024KB_1.bin,1048576,1024.0,0,1743.1618333332608,0.5736702013993776,1.734375,0.0,16.22265625,19.4375,3.21484375,3
AES,1024KB_2.bin,AES_1024KB_2.bin,1048576,1024.0,0,0.7800666666450221,1281.941714418956,0.0,0.0,17.4296875,19.44140625,2.01171875,3
PRESENT,1024KB_2.bin,PRESENT_1024KB_2.bin,1048576,1024.0,0,37230.81460000003,0.026859471401412722,37.088541666666664,0.06770833333333333,17.43359375,19.453125,2.01953125,3
XTEA,1024KB_2.bin,XTEA_1024KB_2.bin,1048576,1024.0,0,2233.5149666667653,0.4477247813084377,2.2239583333333335,0.010416666666666666,17.4453125,19.453125,2.0078125,3
SIMON,1024KB_2.bin,SIMON_1024KB_2.bin,1048576,1024.0,0,11291.259633333235,0.08856407809876879,11.229166666666666,0.026041666666666668,17.4453125,19.453125,2.0078125,3
PRINCE,1024KB_2.bin,PRINCE_1024KB_2.bin,1048576,1024.0,0,9753.523799999888,0.10252704771172153,9.682291666666666,0.015625,17.4453125,19.453125,2.0078125,3
RECTANGLE,1024KB_2.bin,RECTANGLE_1024KB_2.bin,1048576,1024.0,0,32828.93106666666,0.030460936969567216,32.635416666666664,0.0625,17.4453125,19.44921875,2.00390625,3
ASCONv2,1024KB_2.bin,ASCONv2_1024KB_2.bin,1048576,1024.0,1,2176.67490000008,0.45941633268246135,2.15625,0.010416666666666666,17.44140625,19.44921875,2.0078125,3
LEA,1024KB_2.bin,LEA_1024KB_2.bin,1048576,1024.0,0,6147.895600000008,0.16265728390052667,6.09375,0.026041666666666668,17.44140625,20.46484375,3.0234375,3
MSEA,1024KB_2.bin,MSEA_1024KB_2.bin,1048576,1024.0,0,1764.9760666667287,0.566579920762645,1.7447916666666667,0.010416666666666666,18.45703125,20.46484375,2.0078125,3
AES,1024KB_3.bin,AES_1024KB_3.bin,1048576,1024.0,0,0.7566333332912715,1321.6441253653343,0.0,0.0,18.45703125,20.46875,2.01171875,3
PRESENT,1024KB_3.bin,PRESENT_1024KB_3.bin,1048576,1024.0,0,49207.25199999993,0.0203222077916483,48.848958333333336,0.140625,18.4609375,18.125,-0.3359375,3
XTEA,1024KB_3.bin,XTEA_1024KB_3.bin,1048576,1024.0,0,3325.3471000000445,0.30072048719364863,3.3177083333333335,0.010416666666666666,16.125,18.125,2.0,3
SIMON,1024KB_3.bin,SIMON_1024KB_3.bin,1048576,1024.0,0,12845.23043333335,0.07784990741816525,12.770833333333334,0.036458333333333336,16.125,18.125,2.0,3
PRINCE,1024KB_3.bin,PRINCE_1024KB_3.bin,1048576,1024.0,0,9940.67466666661,0.10059679383263917,9.854166666666666,0.010416666666666666,16.125,18.125,2.0,3
RECTANGLE,1024KB_3.bin,RECTANGLE_1024KB_3.bin,1048576,1024.0,0,32675.03243333325,0.030604407265403526,32.557291666666664,0.036458333333333336,16.125,18.125,2.0,3
ASCONv2,1024KB_3.bin,ASCONv2_1024KB_3.bin,1048576,1024.0,1,2196.147500000052,0.4553428219188267,2.1770833333333335,0.005208333333333333,16.125,18.125,2.0,3
LEA,1024KB_3.bin,LEA_1024KB_3.bin,1048576,1024.0,0,6179.280800000015,0.16183113089795134,6.140625,0.010416666666666666,16.125,18.1796875,2.0546875,3
MSEA,1024KB_3.bin,MSEA_1024KB_3.bin,1048576,1024.0,0,1761.7207333332015,0.567626855425596,1.7604166666666667,0.0,16.171875,19.3515625,3.1796875,3
AES,1024KB_4.bin,AES_1024KB_4.bin,1048576,1024.0,0,0.9907333333861363,1009.3533409057632,0.0,0.0,17.34375,19.3515625,2.0078125,3
PRESENT,1024KB_4.bin,PRESENT_1024KB_4.bin,1048576,1024.0,0,38024.28203333337,0.026298984399583565,37.755208333333336,0.08854166666666667,17.34375,19.36328125,2.01953125,3
XTEA,1024KB_4.bin,XTEA_1024KB_4.bin,1048576,1024.0,0,2285.63813333335,0.43751457652730474,2.2395833333333335,0.03125,17.35546875,19.36328125,2.0078125,3
SIMON,1024KB_4.bin,SIMON_1024KB_4.bin,1048576,1024.0,0,11277.952299999924,0.08866857860358274,11.166666666666666,0.041666666666666664,17.35546875,19.36328125,2.0078125,3
PRINCE,1024KB_4.bin,PRINCE_1024KB_4.bin,1048576,1024.0,0,9796.779033333223,0.10207436511505796,9.734375,0.0,17.359375,19.37109375,2.01171875,3
RECTANGLE,1024KB_4.bin,RECTANGLE_1024KB_4.bin,1048576,1024.0,0,32795.662766666734,0.030491836896688437,32.583333333333336,0.078125,17.3671875,19.375,2.0078125,3
ASCONv2,1024KB_4.bin,ASCONv2_1024KB_4.bin,1048576,1024.0,1,2170.2980666665703,0.4607662032044897,2.1614583333333335,0.0,17.3671875,19.375,2.0078125,3
LEA,1024KB_4.bin,LEA_1024KB_4.bin,1048576,1024.0,0,6189.409233333511,0.16156630823737225,6.151041666666667,0.010416666666666666,17.3671875,20.31640625,2.94921875,3
MSEA,1024KB_4.bin,MSEA_1024KB_4.bin,1048576,1024.0,0,1896.5941666666974,0.5272609278122584,1.8854166666666667,0.0,18.30859375,20.375,2.06640625,3
AES,1024KB_5.bin,AES_1024KB_5.bin,1048576,1024.0,0,0.9707333333608403,1030.1490281968927,0.0,0.0,18.3671875,20.375,2.0078125,3
PRESENT,1024KB_5.bin,PRESENT_1024KB_5.bin,1048576,1024.0,0,37713.44076666674,0.02651574557163865,37.427083333333336,0.078125,18.3671875,18.2109375,-0.15625,3
XTEA,1024KB_5.bin,XTEA_1024KB_5.bin,1048576,1024.0,0,2258.7526333333394,0.4427222287392562,2.2447916666666665,0.010416666666666666,16.20703125,18.2109375,2.00390625,3
SIMON,1024KB_5.bin,SIMON_1024KB_5.bin,1048576,1024.0,0,11301.674666666713,0.08848246206815803,11.255208333333334,0.010416666666666666,16.20703125,18.2109375,2.00390625,3
PRINCE,1024KB_5.bin,PRINCE_1024KB_5.bin,1048576,1024.0,0,10457.322766666493,0.09562677009335273,10.328125,0.036458333333333336,16.20703125,18.2109375,2.00390625,3
RECTANGLE,1024KB_5.bin,RECTANGLE_1024KB_5.bin,1048576,1024.0,0,32857.05653333344,0.03043486256857797,32.588541666666664,0.078125,16.20703125,18.2109375,2.00390625,3
ASCONv2,1024KB_5.bin,ASCONv2_1024KB_5.bin,1048576,1024.0,1,2179.910299999998,0.4587344717807888,2.1770833333333335,0.005208333333333333,16.22265625,18.2265625,2.00390625,3
LEA,1024KB_5.bin,LEA_1024KB_5.bin,1048576,1024.0,0,6436.5715333333355,0.155362213380409,6.375,0.020833333333333332,16.22265625,18.234375,2.01171875,3
MSEA,1024KB_5.bin,MSEA_1024KB_5.bin,1048576,1024.0,0,1925.586433333289,0.519322312771465,1.8958333333333333,0.020833333333333332,16.2265625,19.41015625,3.18359375,3
AES,1024KB_6.bin,AES_1024KB_6.bin,1048576,1024.0,0,1.326066666782329,754.1098988834984,0.0,0.0,17.40234375,19.41015625,2.0078125,3
PRESENT,1024KB_6.bin,PRESENT_1024KB_6.bin,1048576,1024.0,0,38841.14366666654,0.025745894832087547,38.479166666666664,0.109375,17.40234375,19.13671875,1.734375,3
XTEA,1024KB_6.bin,XTEA_1024KB_6.bin,1048576,1024.0,0,2385.6463000001895,0.4191736218398849,2.3489583333333335,0.020833333333333332,17.12890625,18.25,1.12109375,3
